"#"	"Network Object ""FROM"""	"Object Type"	"Network Object ""TO"""	"Object Type"	"Effect"	"Mechanism"	"Homo sapiens"	"Link Info"	"References"
467	"VEGF-A"	"Receptor ligand"	"VEGFR-2"	"Receptor with enzyme activity"	"Activation"	"Binding"	"x"	"VEGF is expressed as several isoforms of different amino acid chain lengths (in human, VEGF121, VEGF145, VEGF165, VEGF183, VEGF189 and VEGF206) that all bind to VEGFR-1 and VEGFR-2 but differ in their ability to bind heparin and neuropilin- 1 (NRP-1)."	"7545457;7681362;7970715;8621427;8631822;9229772;9556609;9811321;10323857;11001067;11156525;11283723;11333271;11350730;11820705;11821800;11852252;11877390;11940508;11948691;11969367;11978069;11989972;12039842;12107087;12361591;12500267;12657432;12706123;12716911;12810700;12888015;12888864;12897707;12898211;14504780;14528278;14600159;14663337;14966899;14984432;14990981;15001987;15057248;15181974;15210301;15334073;15542434;15664381;15831232;15911882;16005628;16107693;16355213;16355214;16431938;16493585;16537292;16557570;16621967;16724055;16763549;16901919;17044926;17082651;17318185;17395884;17575273;17723288;17979153;17981115;18003751;18093986;19883397;20039409;20145116;20298529;20851763;21596751;21832278;21949677"
468	"IKK (cat)"	"Protein kinase"	"I-kB"	"Generic binding protein"	"Inhibition"	"Phosphorylation"	"x"	"IKK (cat) was shown to inhibit I-kB by phosphorylation."	"9252183;9346485;9751044;9914500;10894524;11728826;12018462;12122011;12490963;12586443;12876556;14701753;15211562;15352157;15565643;15604887;15653325;15661020;16216007;16620764;16676354;17321482;18267068"
469	"JAK2"	"Protein kinase"	"EGFR"	"Receptor with enzyme activity"	"Activation"	"Phosphorylation"	"x"	"JAK2 phosphorylates EGFR and increases its activity."	"9363897;9790226;10358079;10635327;11601336;16273093"
470	"c-Raf-1"	"Protein kinase"	"MEK1(MAP2K1)"	"Protein kinase"	"Activation"	"Phosphorylation"	"x"	"c-Raf-1 phosphorylates MEK1(MAP2K1) and increases its activity."	"1326789;7731720;7768895;7935374;7969158;8034665;8120027;8157000;8193545;8248196;8327501;8394352;8413257;8621729;9297626;9733801;10490027;10757792;11042690;11325826;11604401;11728826;11784015;11948406;11960326;12020764;12471242;12566895;12586443;12629518;12876556;14724641;14735164;15352164;15485920;15565643;15866172;15955734;15970553;16008550;16079829;16093354;16508002;16724053;16724058;16858395;16890795;17064357;17126425;17279541;17314970;17346150;17496923;17553668;17706925;17724343;17933524;17979178;18337767;18402765;18406346;18713014;19149686;19197339;19217204;19406201;19666137;19899001;20047953;20149254;20674547;20679480;20956560;21336309"
471	"Cyclic AMP intracellular"	"Compоund"	"PKA-reg (cAMP-dependent)"	"Generic binding protein"	"Activation"	"Binding"	"x"	"cAMP binds and activates protein kinase A (PKA)."	"3137961;7678053;8977401;10217139;11557990;11557991;11805843;11805844;12181550;15662399;16469951;17314970"
472	"FAK1"	"Protein kinase"	"Paxillin"	"Generic binding protein"	"Activation"	"Phosphorylation"	"x"	"c-SRC phosphorylated FAK1 interacts with and phosphorylates paxillin stimulating cytoskeleton remodeling."	"8922390;8940124;9054445;9230116;9422762;9442086;9553131;9658172;9756887;9889179;10330411;10417825;10455189;10545505;10753828;10931187;11113628;11114741;11283723;11337490;11420674;11514617;11784715;11919182;14656986;15107421;15494312;15870699;16298995;16690621;16728403;16790429;16823799;16919435;17185517;17496915;18349846;20332118;20655620;21034468;21741599;21852560;21900245;22528793"
473	"GRB2"	"Generic binding protein"	"SOS"	"Regulators (GDI, GAP, GEF)"	"Activation"	"Binding"	"x"	"GRB2 physically interacts with SOS and increases its activity."	"7516467;7935386;8386805;8479536;8479540;8479541;8490966;8663278;8663461;8687411;8816480;8853442;8909796;8950972;9297626;9322943;9495335;9569023;9614102;9853744;10090597;10359574;10586892;11048732;11535511;11728826;11742412;11964172;12032773;12054111;12628344;12904771;12955078;14679214;14698616;15629104;16125055;17276458;17624946;18562239;21130868"
474	"AKT(PKB)"	"Protein kinase"	"c-Raf-1"	"Protein kinase"	"Inhibition"	"Phosphorylation"	"x"	"Raf has the ability to interact with a large number of proteins, including AKT."	"10576741;10576742;11357143;11533257;12717425;15047712;16724058;17604717;17706925"
475	"SOS"	"Regulators (GDI, GAP, GEF)"	"H-Ras"	"RAS - superfamily"	"Activation"	"Transformation"	"x"	"SOS activates H-RAS protein by mediating the exchange of GDP for GTP."	"8493579;8853442;9297626;9322943;9690470;10586892;11560935;11742412;12384139;12904771;15549091;16724053;16724058"
476	"PDK (PDPK1)"	"Protein kinase"	"p70 S6 kinase1"	"Protein kinase"	"Activation"	"Phosphorylation"	"x"	"p70 S6 kinase1 can be phosphorylated and activated by PDK1 in a manner dependent on the hydrophobic motif phosphorylation."	"9271440;9427642;9445476;10021376;10601311;11357143;11438723;12374740;15187024;16187290;16968213;17041622;17041626;17041627;17110931;17446865"
477	"mTOR"	"Protein kinase"	"PP2A catalytic"	"Protein phosphatase"	"Inhibition"	"Phosphorylation"	"x"	"mTOR phosphorylates and inhibits PP2A catalytic"	"10200280;15755954"
478	"PKA-reg (cAMP-dependent)"	"Generic binding protein"	"PKA-cat (cAMP-dependent)"	"Protein kinase"	"Activation"	"Binding"	"x"	"PKA-reg (cAMP-dependent) forms complex with PKA-cat (cAMP-dependent)."	"1584809;9232801;10922298;15655353;16214430"
479	"PDK (PDPK1)"	"Protein kinase"	"AKT(PKB)"	"Protein kinase"	"Activation"	"Phosphorylation"	"x"	"PDK (PDPK1) phosphorylates AKT(PKB) and increases its activity"	"9094314;10021376;10200246;10698680;11048732;11584304;11697884;14966899;15209375;16088938;16088939;16187290;16516442;16787739;17321123;17407381;17712357;17928127;18391973;20946954"
480	"mTOR"	"Protein kinase"	"p70 S6 kinase1"	"Protein kinase"	"Activation"	"Phosphorylation"	"x"	"mTOR phosphorylates and activates S6 kinase 1 (S6K1)"	"8914981;9465032;10072357;10322127;10567431;11279232;11357143;11416184;11500364;11684675;11914378;12150926;12553904;12604610;15185396;15755954;15760907;15767663;16099987;16183647;16286006;16288294;16357142;16452250;16483933;16679021;16717100;16724053;16724055;16837165;16849518;16968213;17041622;17041626;17041627;17046229;17255101;17321123;17374522;17503347;17510058;17525380;17613433;17715262;17825298;18094094;18177819;18466115;18555664;18566587;19272448;19446321;19887105;20439490;20727406;21139583;21899728;21914810"
481	"Shc"	"Generic binding protein"	"GRB2"	"Generic binding protein"	"Activation"	"Binding"	"x"	"Shc associates with GRB2 and induces its activity."	"1465135;7505797;7506413;7514169;7515480;7516467;7524086;7529871;7535773;7539794;7629168;7691810;7717978;7759503;7795229;7798267;7896829;7907978;7935386;7961995;8051109;8084588;8112292;8114695;8195171;8264617;8294403;8316835;8400282;8491186;8524223;8524290;8547634;8549807;8551221;8577724;8592114;8621459;8621719;8626525;8626530;8647288;8662733;8662998;8663278;8755247;8808684;8810340;8939605;8940013;8978300;9009167;9045692;9049300;9083021;9083103;9126968;9148935;9153264;9199344;9230117;9293157;9328837;9331427;9346957;9395506;9448048;9486662;9541596;9544989;9566877;9693119;9710602;9714065;9722539;9733714;9763606;9774338;9774456;9829689;9884020;9886492;9886807;9914944;9918770;9927207;9935193;10049786;10064605;10080542;10195419;10207047;10216198;10393272;10446212;10477272;10477741;10482988;10570290;10585851;10748054;10749687;10809671;10838162;10891441;10958675;11048732;11230180;11302736;11412040;11444425;11449354;11505033;11602589;11707404;11707405;11742412;11964172;11997181;12167719;12441060;12446583;12485888;12486127;12538627;12577067;12604671;12614335;12837289;12955078;14651849;15629104;15688026;15812354;16099987;16339969;16371368;16520382;16878685;17145761;17537990;17607710;17673906;18174162;18273058;18604176;19380743;19914172;20697350;21262349;21706016;22286768"
482	"I-kB"	"Generic binding protein"	"NF-kB"	"Transcription factor"	"Inhibition"	"Binding"	"x"	"In nonstimulated cells, NF-kappaB dimeric transcription factors are bound to inhibitory IkappaB proteins and are thereby sequestered in the cytoplasm."	"9751041;9751044;9751059;11254583;11493905;11562344;11728826;12018462;12490963;12618762;12672800;12917671;15661020;16620764;17047224;17072322;18267068"
483	"Beta-catenin"	"Generic binding protein"	"Lef-1"	"Transcription factor"	"Activation"	"Binding"	"x"	"Beta-catenin physically interacts with Lef-1 and increases its activity"	"7705917;8757136;8892228;9671490;9860970;10085258;10728985;10825188;10890911;10954412;10958684;10966653;11126358;11835406;11986304;12077367;12244173;12461779;12556497;12646907;12646922;12748295;15024079;15525529;15684397;15729346;15768032;15936755;16099987;16167329;16204248;16293619;16309666;16510874;16510875;16543220;16678101;16741972;16931570;17445771;17510365;17587808;18077326;18202148;18432252;19783677;19805379;19888210;20019092;20858269;21270130;21743491;22014570"
484	"APC protein"	"Generic binding protein"	"Beta-catenin"	"Generic binding protein"	"Inhibition"	"Binding"	"x"	"APC interacts with beta-catenin in complex with Axin, leading to beta-catenin degradation."	"7806582;7890674;8259518;8259519;8638126;8754807;8794867;9286858;9377578;9425102;9482734;9554852;9556553;9707618;10074433;10080941;10085258;10346819;10508699;10725216;10837025;10954412;10980707;11166179;11251183;11263497;11533658;11707392;11712088;11972058;11986304;12000790;12628243;12756972;12874278;15282282;15294866;15327768;15327769;15355978;15456841;15525529;16212417;16293619;16340998;16478791;16510874;16520547;16621792;16724056;16741972;16751178;17126424;17189293;17318191;17510365;17572842;17588722;17881494;18432252;18555664;18641688;19061640;19376641;19845967;20211142;20363320;20623542;21152425;22469663;22761442"
485	"Axin"	"Generic binding protein"	"GSK3 beta"	"Protein kinase"	"Activation"	"Binding"	"x"	"STRAP and GSK3beta form a ternary complex together with Axin."	"9482734;9554852;9601641;10647780;10728985;10921899;16293724;16340998;16447163;21502811;21940452;22240482"
486	"FRAT1"	"Generic binding protein"	"GSK3 alpha/beta"	"Protein kinase"	"Inhibition"	"Binding"	"x"	"FRAT1 binds to GSK3 and inhibits its phosphorylation activity."	"10197595;10481074;14572648;15361837;16082208"
487	"p90RSK1"	"Protein kinase"	"c-Fos"	"Transcription factor"	"Activation"	"Phosphorylation"	"x"	"RSKs  phosphorylates a number of immediate-early gene products, including FOS, JUN and NUR77."	"1545828;8248197;8392180;18813292;21167873;21372320"
488	"PtdIns(3,4,5)P3 intracellular"	"Compоund"	"PDK (PDPK1)"	"Protein kinase"	"Activation"	"Binding"	"x"	"PtdIns(3,4,5)P3 physically interacts with PDK (PDPK1) and increases its activity"	"9895304;12478302;12545728;16919913;17311006;17617665"
489	"HSF1"	"Transcription factor"	"HSP70"	"Generic binding protein"	"Activation"	"Transcription regulation"	"x"	"HSF1 binds to gene HSP70 promoter and activates HSP70 expression."	"1508207;1607379;1628823;1936996;2474756;3561411;8114740;9699716;10467107;14673132;14707147;16189514;17024176;17213196;21468236;21478269"
490	"p90Rsk"	"Protein kinase"	"CREB1"	"Transcription factor"	"Activation"	"Phosphorylation"	"x"	"p90Rsk  phosphorylates CREB1 and increases its activity."	"8688081;9006973;9528766;10723128;10753834;15138267;16724058;17314970;20363322;21372320"
491	"IKK-gamma"	"Generic binding protein"	"IKK (cat)"	"Protein kinase"	"Activation"	"Binding"	"x"	"IKK-gamma was shown to activate IKK (cat) by complex formation."	"9751044;9751060;10893415;10968790;11493905;11864612;12789323;12917671;15053012;17303405;17561326"
492	"Shc"	"Generic binding protein"	"c-Src"	"Protein kinase"	"Activation"	"Binding"	"x"	"Src interacts with Shc. This interaction was modelled on demonstrated interactions between human Src and rat Shc, and between Src from unspecified species and human Shc."	"7515480;7516469;7759503;8939605;9096689;9388490;9566877;9710204;10482988;10971656;11412040;12048194;12837289;16189514;20048152;21445970;22586143"
493	"PI3K reg class IA"	"Generic binding protein"	"PI3K cat class IA"	"Lipid kinase"	"Activation"	"Binding"	"x"	"PI3K reg class IA activates PI3K cat class IA"	"10704820;11687500"
494	"p70 S6 kinase1"	"Protein kinase"	"GSK3 alpha/beta"	"Protein kinase"	"Inhibition"	"Phosphorylation"	"x"	"p70 S6 kinase1 phosphorylates and inhibits GSK3 alpha/beta"	"7980435;8307153;9582355;15173880"
495	"mTOR"	"Protein kinase"	"p53"	"Transcription factor"	"Activation"	"Phosphorylation"	"x"	"mTOR interacts with p53."	"10771484;11602639;17128209;19619545"
496	"NCOA1 (SRC1)"	"Generic binding protein"	"ESR1 (nuclear)"	"Transcription factor"	"Activation"	"Binding"	"x"	"Estradiol induced the interaction of ERalpha with co-activator SRC-1."	"8816752;9192902;9427757;9482670;9575154;9773983;9774463;10207113;10529898;10567563;10713439;10731636;10934189;11003650;11113179;11136553;11165056;11250900;11389589;11459795;11867769;11893728;12040178;12507421;12714702;14766010;15084758;15256502;15604093;16092128;16394250;16495672;16616843;16840538;16957778;17057947;17135255;17363140;17627277;17631495;17827713;18451880;18455388;18566116;19207820;19460436;19934375;21148148"
497	"FAK1"	"Protein kinase"	"c-Src"	"Protein kinase"	"Activation"	"Binding"	"x"	"FAK1 interacts with c-Src and stimulates it."	"7505391;7509446;7515480;7529876;7997267;8054685;8649368;8816475;8832401;8941336;9032297;9148935;9416004;9507031;9566877;9694867;9774338;9822703;9889179;9922457;10085298;10471383;10931187;11114741;11278488;11281284;11604500;11927607;11980671;12055185;12387730;12558988;12615911;12700131;12815062;15246681;15572128;15688067;16054026;16099987;16167340;16189514;16291744;16728403;16919435;16966330;17185517;17525734;18086565;18233957;18464795;18722484;18814847;19060903;19401391;19628583;20145126;21034468;21127007;22402981"
498	"CDK1 (p34)"	"Protein kinase"	"c-Src"	"Protein kinase"	"Activation"	"Phosphorylation"	"x"	"Cdc2 phosphorylates c-Src in M phase and is responsible for retarded mobility of c-Src."	"1379736;2484925;17692281"
499	"c-Src"	"Protein kinase"	"FAK1"	"Protein kinase"	"Activation"	"Phosphorylation"	"x"	"c-Src phosphorylates FAK1 and increases its activity."	"7529876;7997267;8054685;8816475;8941336;9507031;9822703;9837978;10085136;10085298;10931187;11283723;11927607;11980671;12020799;12049193;12051709;12387730;12558988;12615911;12700131;15170449;15258893;15273716;15489911;15688067;16000375;16167340;16291744;16919435;16966330;17185517;17449913;17525734;17553668;17928235;18464795;18563927;18814847;19224453;19401391;19568240;21034468"
500	"EGFR"	"Receptor with enzyme activity"	"c-Src"	"Protein kinase"	"Activation"	"Binding"	"x"	"EGFR activates c-Src. This activation leads to the ERK1/2 signaling cascade activation"	"2173144;7523188;8078931;8845374;9444956;10075741;10358079;10777553;10971656;11983694;12020799;12456372;12750372;14704150;14963038;15352158;15578920;15930886;16092128;16530387;17284441;18057010;19133285;19407222;19587094;19948031;20333651;20624308;20935677;21278788;21356361;21536676;21822308;22227249;22302097"
501	"A-Raf-1"	"Protein kinase"	"MEK1(MAP2K1)"	"Protein kinase"	"Activation"	"Phosphorylation"	"x"	"The population of MEK1 that is phosphorylated by PAK in response to adhesion may be sensitized to Raf activated downstream of integrin engagement, thereby coupling adhesion stimulated Rac-Cdc42 to MAPK signaling."	"7731720;8157000;8394352;8621729;11909642;17553668;17979178"
502	"A-Raf-1"	"Protein kinase"	"MEK2(MAP2K2)"	"Protein kinase"	"Activation"	"Phosphorylation"	"x"	"Interaction of A-Raf-1 with MEK2(MAP2K2) was shown by using yeast two-hybrid system method ."	"11909642;16189514;17537614"
503	"B-Raf"	"Protein kinase"	"MEK2(MAP2K2)"	"Protein kinase"	"Activation"	"Phosphorylation"	"x"	"B-Raf phosphorylates MEK2(MAP2K2) and increases its activity."	"8668348;9733801;17979178"
504	"B-Raf"	"Protein kinase"	"MEK1(MAP2K1)"	"Protein kinase"	"Activation"	"Phosphorylation"	"x"	"Map2k1 (MEK-1) interacts with and is phosphorylated by Braf. This interaction was modeled on a demonstrated interaction between MEK-1 and Braf, both from unspecified species."	"7648369;7731720;7835430;7935374;8090790;8143342;8157000;8394352;8621729;8652557;8668348;9560148;9733801;9922370;10856235;11292831;11784015;12639709;12876556;15565643;15782137;16724053;16810323;17553668;17979178;21441910"
505	"ERK1/2"	"Protein kinase"	"p90Rsk"	"Protein kinase"	"Activation"	"Phosphorylation"	"x"	"ERK1/2  phosphorylates p90Rsk and increases its activity."	"7557021;7601337;8387505;8939914;9430688;9765464;10074458;10723128;11414362;11796750;15549091;15723344;16393692;16724058;17418381;20363322"
506	"PKC"	"Protein kinase"	"EGFR"	"Receptor with enzyme activity"	"Activation"	"Phosphorylation"	"x"	"PKC phosphorylates and activates EGFR"	"2784435;12496267;12601032;16793002"
507	"ERK5 (MAPK7)"	"Protein kinase"	"p90Rsk"	"Protein kinase"	"Activation"	"Phosphorylation"	"x"	"ERK5 (MAPK7) phosphorylates and activates p90Rsk"	"11478941;16880823"
508	"GSK3 alpha/beta"	"Protein kinase"	"Cyclin D"	"Generic binding protein"	"Inhibition"	"Phosphorylation"	"x"	"GSK3 alpha/beta phosphorylates Cyclin D and decreases its activity."	"10728985"
509	"p90RSK1"	"Protein kinase"	"Kinase MYT1"	"Protein kinase"	"Inhibition"	"Phosphorylation"	"x"	"p90RSK1 phosphorylates and inhibits Kinase MYT1"	"9724639;10411321;10740821"
510	"Collagen I"	"Generic binding protein"	"alpha-1/beta-1 integrin"	"Generic receptor"	"Activation"	"Binding"	"x"	"Collagen I  is an agonist of alpha-1/beta-1 integrin"	"11876085;12072442;12399469;12771137;15890231;16167340"
511	"Collagen I"	"Generic binding protein"	"alpha-2/beta-1 integrin"	"Generic receptor"	"Activation"	"Binding"	"x"	"Collagen I  is an agonist of alpha-2/beta-1 integrin"	"2646323;10542255;11876085;12072442;12297042;12399469;12771137;15761669;15890231;16167340;16357324;17374611"
512	"GRB10"	"Generic binding protein"	"c-Raf-1"	"Protein kinase"	"Activation"	"Binding"	"x"	"Raf has the ability to interact with a large number of proteins, including GRB10."	"9553107;10585452;11023813;17535812;17706925"
513	"p90RSK1"	"Protein kinase"	"SRF"	"Transcription factor"	"Activation"	"Phosphorylation"	"x"	"pp90RSK phosphorylates SRF at Ser-103. Ser-103 phosphorylation of SRF increases the rate and affinity with which it binds to the SRE sites of the promoter"	"8392180;8413226;10318869;10753652;21372320"
514	"c-Src"	"Protein kinase"	"Shc"	"Generic binding protein"	"Activation"	"Phosphorylation"	"x"	"Shc is a candidate Src substrate."	"1409579;8702633;9096689;9388490;9710204;9753611;10329689;10482988;12925710;15352158;16099987;16825188;17993263;18563927"
515	"c-Src"	"Protein kinase"	"CDK1 (p34)"	"Protein kinase"	"Inhibition"	"Phosphorylation"	"x"	"C-Src phosphorylates CDK1 (p34) and decreases its activity."	"2462672;21966344"
516	"Kinase MYT1"	"Protein kinase"	"CDK1 (p34)"	"Protein kinase"	"Inhibition"	"Phosphorylation"	"x"	"CDK complexes are key regulators of cell-cycle progression, and are held inactive by the phosphorylation of two residues located within the ATP binding loop (Thr14 and Tyr15 of CDK1), by the WEE1 and MYT1 kinases."	"9001210;9268380;9724639;10373560;10504341;10524615;11976667;12912980;15837193;17568790;20360068;21900495"
517	"CDC25B"	"Protein phosphatase"	"CDK1 (p34)"	"Protein kinase"	"Activation"	"Dephosphorylation"	"x"	"Cdc25B is able to activate only Cdk1/Cyclin B."	"1828290;7954823;8440392;9141461;9268380;9585407;9683638;9733650;11100718;11976667;12107172;12234927;15578575;17341183;18572308;19192479;20801879;20876571"
518	"Gephyrin"	"Generic binding protein"	"mTOR"	"Protein kinase"	"Activation"	"Binding"	"x"	"Gephyrin physically interacts with mTOR and increases its activity."	"10325225;12553904;18403029"
519	"c-Src"	"Protein kinase"	"IKK-beta"	"Protein kinase"	"Activation"	"Phosphorylation"	"x"	"c-Src phosphorylates IKK-beta and increases its activity."	"12645577;12707358;15749833"
520	"RIPK1"	"Protein kinase"	"IKK-gamma"	"Generic binding protein"	"Activation"	"Binding"	"x"	"RIPK1 physically interacts with IKK-gamma and increases its activity."	"10755617;10880512;10980203;12654725;12917671;14653779;16543241;16603398;17981138;18267068;21113135;21383699;21458669;22099304;22158412"
521	"c-Raf-1"	"Protein kinase"	"RIPK2"	"Protein kinase"	"Activation"	"Phosphorylation"	"x"	"c-Raf-1 can phosphorylate and activate RIPK2."	"10559258;15752987"
522	"p53"	"Transcription factor"	"PTEN"	"Lipid phosphatase"	"Activation"	"Transcription regulation"	"x"	"p53 binds to gene PTEN promoter and activates PTEN expression."	"11545734;11571296;11729185;11906179;11959846;12217521;12620407;12844284;15220520;15843377;16412571;16424003;16728565;16778187;17409411;17677004;17972252;18032782;18639648;20182617;20303758;20399660;20554748;21779512"
523	"ADAM17"	"Metalloprotease"	"TGF-alpha"	"Receptor ligand"	"Activation"	"Cleavage"	"x"	"ADAM17 is a major sheddase for the EGFR and other Erbb receptor ligands, including the proforms of heparin-binding EGF-like growth factor (HBEGF), transforming growth factor-alpha (TGFalpha), amphiregulin and epiregulin."	"9812885;11360299;11823465;12590602;12606576;12814936;14647423;14993236;15075334;15949939;15982853;16769815;16824663;16840716;17079736;17218988;17464354;17572069;18182322;18930083;18951988;19005493;20393191"
524	"Tuberin"	"Regulators (GDI, GAP, GEF)"	"RAP-1A"	"RAS - superfamily"	"Inhibition"	"Transformation"	"x"	"Tuberin transforms GTP to GDP and inhibits RAP-1A."	"8789450;8806680;9006320;9173918;12147258;12842888"
525	"RAP-1A"	"RAS - superfamily"	"c-Raf-1"	"Protein kinase"	"Inhibition"	"Binding"	"x"	"Interaction of RAP-1A with c-Raf-1 was shown by using yeast two-hybrid system method ."	"7791872;7862125;8636102;8636150;8756332;9094716;9115221;9867809;10454553;10913189;10954709;11023813;11340161;15236966;16189514;19060903"
526	"PI3K reg class IA"	"Generic binding protein"	"mTOR"	"Protein kinase"	"Activation"	"Binding"	"x"	"PI3K reg class IA interacts with mTOR and activates it"	"7774014;11684675;12217904"
527	"GSK3 beta"	"Protein kinase"	"APC protein"	"Generic binding protein"	"Activation"	"Phosphorylation"	"x"	"Besides b-catenin, GSK-3b phosphorylates other substrates, including Axin and APC."	"8638126;9425102;10508699;11166179;11251183;15327768;15829953;16520547;16552619;17588722;20623542"
528	"VAV-2"	"Regulators (GDI, GAP, GEF)"	"Rac1"	"RAS - superfamily"	"Activation"	"Transformation"	"x"	"Vav2 is guanine nucleotide exchange factor for Rac1."	"8990121;10669724;10744696;10760587;10982832;12454019;12876556;15485841;15509516;15607020;15850391;16397238;16723445;16725310;17060906;17686471;17881726;17996485;18434624;18653540;19029489;19095647;19549603;20237158;20940296;21893191;22004470;22383527"
529	"SOS"	"Regulators (GDI, GAP, GEF)"	"K-RAS"	"RAS - superfamily"	"Activation"	"Transformation"	"x"	"SOS activates K-RAS protein by mediating the exchange of GDP for GTP."	"10586892;11560935;11742412;12384139;15549091;16724053;16724058"
530	"c-Src"	"Protein kinase"	"p120GAP"	"Regulators (GDI, GAP, GEF)"	"Inhibition"	"Phosphorylation"	"x"	"c-Src was shown to inhibit p120GAP by phosphorylation."	"1385407;1717825;11389730;15752734;15823555;15892868;16189514;21779499"
531	"p120GAP"	"Regulators (GDI, GAP, GEF)"	"R-Ras"	"RAS - superfamily"	"Inhibition"	"Transformation"	"x"	"P120GAP transforms GTP to GDP and inhibits R-Ras."	"9312123;10777492;22253263"
532	"p120GAP"	"Regulators (GDI, GAP, GEF)"	"TC21"	"RAS - superfamily"	"Inhibition"	"Transformation"	"x"	"P120GAP activates TC21 in vitro and in vivo. It was shown by analysis of guanine nucleotide exchange."	"10777492"
533	"p120GAP"	"Regulators (GDI, GAP, GEF)"	"M-Ras"	"RAS - superfamily"	"Inhibition"	"Transformation"	"x"	"P120GAP activates M-Ras in vitro."	"10777492;22253263"
534	"ErbB2"	"Receptor with enzyme activity"	"EGFR"	"Receptor with enzyme activity"	"Activation"	"Binding"	"x"	"HER2 activates glial-cell migration by modulating EGFR-HER2 signal transduction, and this effect is mediated by a direct interaction of the EGFR-HER2 and N-cadherin-beta-catenin complexes, leading to tyrosine phosphorylation and inhibition of beta-catenin."	"1349015;1706616;8617201;8665853;9115272;10085130;10490623;10572067;11030146;11208164;11320205;11500516;11500850;11526509;11791178;11934884;12354693;12376557;12429844;14668796;15572377;15652750;15657067;15748904;15982853;16207817;16516204;16815674;16843263;17372305;17426253;17471238;17486068;17521961;17553674;17652160;17681753;17990290;18031935;18762250;19033391;19060928;19174612;19346299;20945942"
535	"K-RAS"	"RAS - superfamily"	"c-Raf-1"	"Protein kinase"	"Activation"	"Binding"	"x"	"K-RAS physically interacts with c-Raf-1 and increases its activity."	"9727023;10358073;10753660;10783161;10882715;10942532;11023813;11784015;12149263;12876556;15102471;15143186;15205467;15352164;16079829;16724053;17229891;17314971;18458061;19164755;20802526;21239614;21386094"
536	"R-Ras"	"RAS - superfamily"	"c-Raf-1"	"Protein kinase"	"Activation"	"Binding"	"x"	"Ras-binding domain of Raf binds to endogenous R-Ras."	"8048167;8530488;8636102;10848612;11023813;11429608;12876556;16537651;19805522"
537	"EGFR"	"Receptor with enzyme activity"	"Shc"	"Generic binding protein"	"Activation"	"Binding"	"x"	"EGFR activates the EGFR-SHC-Grb2-SOS-RAS-RAF-MEK-ERK signaling pathway"	"1623525;7506413;7518560;7539794;7542744;7673183;7681824;7798194;7798267;7925272;8101647;8537373;8561895;8577769;8610109;8626530;8662998;8808684;8887653;8943228;9049300;9544989;9685397;9710602;9742218;9756944;9765228;9851973;9886924;10049786;10490623;10567412;10635327;11133812;11196191;11208164;11252954;11297548;11335725;11412040;11498013;12577067;14744244;15657067;15784896;15982853;16099987;16273093;16729043;16843263;16889899;17652160;17671194;17715395;18174162;18404164;18721752;18996136;20473329;20935677;20945942;21258366;21278788"
538	"Shc"	"Generic binding protein"	"SOS"	"Regulators (GDI, GAP, GEF)"	"Activation"	"Binding"	"x"	"Shc physically interacts with SOS and increases its activity."	"7516467;7629168;8663278;9570517;9853744;11287756;11742412;12955078"
539	"c-Src"	"Protein kinase"	"STAT5A"	"Transcription factor"	"Activation"	"Phosphorylation"	"x"	"V-src-transformed cells were found to express constitutively  phosphorylated forms of STAT- 1, -3 and -5, which exhibited  appropriate DNA binding activities."	"10358079;11169589;11641791;12032773;15489919;15509516;15578920;16189514;16883580"
540	"p70 S6 kinase1"	"Protein kinase"	"CREB1"	"Transcription factor"	"Activation"	"Phosphorylation"	"x"	"P70 S6 kinase1 phosphorylates CREB1 and increases its activity."	"10558990"
541	"CDC42"	"RAS - superfamily"	"p70 S6 kinase1"	"Protein kinase"	"Activation"	"Binding"	"x"	"Interaction of p70S6K with Cdc42 was shown in DHFR survival-selection assay."	"8653792;10866184;11438723"
542	"PKC-zeta"	"Protein kinase"	"p70 S6 kinase1"	"Protein kinase"	"Activation"	"Phosphorylation"	"x"	"PKC-zeta phosphorylates p70 S6 kinase1 and increases its activity."	"10082559;11108711;16931574"
543	"EGFR"	"Receptor with enzyme activity"	"STAT3"	"Transcription factor"	"Activation"	"Phosphorylation"	"x"	"Interaction of EGFR with STAT3 was identified by screening of signaling networks associated with EGF receptor activation and pharmacological inhibition by anti-phosphotyrosine and anti-EGFr affinity chromatography, isotope-coded muLC-MS/MS, and immunoblot methods."	"8524316;8942998;10358079;10817963;11169589;12873986;14498832;15485908;15578920;15657067;15950906;16790433;16889899;20827319"
544	"JAK1"	"Protein kinase"	"c-Raf-1"	"Protein kinase"	"Activation"	"Phosphorylation"	"x"	"JAK1 phosphorilates and activates Raf-1."	"9199317;9446616;11023813"
545	"HSF1"	"Transcription factor"	"HSP40"	"Generic binding protein"	"Activation"	"Transcription regulation"	"x"	"HSP40 was identificated as HSF1 transcription target by combination of chromatin immunoprecipitation analysis and time course gene expression data analysis with and without siRNA-mediated inhibition ."	"9499401;9545528;14668476;16189514;17024176;17213196;17216044;17885648"
546	"JunB"	"Transcription factor"	"ITGB4"	"Generic receptor"	"Activation"	"Transcription regulation"	"x"	"JunB can bind to gene ITGB4 promoter and activates ITGB4 expression."	"9837976"
